Year,Total Fertility Rate
2021,1.12
2020,1.1
2019,1.14
2018,1.14
2017,1.16
2016,1.2
2015,1.24
2014,1.25
2013,1.19
2012,1.29
2011,1.2
2010,1.15
2009,1.22
2008,1.28
2007,1.29
2006,1.28
2005,1.26
2004,1.26
2003,1.27
2002,1.37
2001,1.41
2000,1.6
1999,1.47
1998,1.48
1997,1.61
1996,1.66
1995,1.67
1994,1.71
1993,1.74
1992,1.72
1991,1.73
1990,1.83
1989,1.75
1988,1.96
1987,1.62
1986,1.43
1985,1.61
1984,1.62
1983,1.61
1982,1.74
1981,1.78
1980,1.82
1979,1.79
1978,1.79
1977,1.82
1976,2.11
1975,2.07
1974,2.35
1973,2.79
1972,3.04
1971,3.02
1970,3.07
1969,3.22
1968,3.53
1967,3.91
1966,4.46
1965,4.66
1964,4.97
1963,5.16
1962,5.21
1961,5.41
1960,5.76