Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (Â°C);Weather type;Notes
2023-03-05 23:41:23;2023-03-06 00:18:09;6%;0%;;0;0;Normal;100.8;;0.0;2206.0;0.0;0.0;2023-03-06 07:15:00;2023-03-06 08:00:00;false;0.0;0.0;No weather;
2023-03-06 00:20:21;2023-03-06 01:06:36;8%;0%;;66;9576;Normal;100.7;;0.0;2775.1;0.0;0.0;2023-03-06 07:15:00;2023-03-06 08:00:00;true;0.0;0.0;No weather;
2023-03-06 01:07:01;2023-03-06 06:09:50;58%;0%;;53;9753;Normal;100.7;;35.8;18169.0;13687.3;2059.2;2023-03-06 05:45:00;2023-03-06 06:30:00;true;0.0;0.0;No weather;
2023-03-06 22:40:37;2023-03-07 07:02:44;89%;72%;;72;9205;Normal;100.7;;40.5;30127.5;22696.0;602.5;2023-03-07 05:45:00;2023-03-07 06:30:00;true;0.0;23.8;Partly cloudy;
2023-03-07 21:49:53;2023-03-08 06:49:23;100%;82%;;57;8676;Normal;100.6;;27.2;32370.3;28701.7;647.4;2023-03-08 05:45:00;2023-03-08 06:30:00;true;0.0;24.6;Fair;
2023-03-08 22:03:10;2023-03-09 05:54:51;66%;85%;;64;7146;Normal;100.5;;60.6;28301.3;25942.8;566.0;2023-03-09 05:45:00;2023-03-09 06:30:00;true;0.0;24.9;Sunny;
2023-03-09 21:35:47;2023-03-10 06:15:09;80%;92%;;60;5688;Normal;100.4;;55.5;31162.0;28980.7;623.2;2023-03-10 05:15:00;2023-03-10 06:00:00;true;0.0;24.9;Partly cloudy;
2023-03-11 01:01:46;2023-03-11 08:29:25;76%;79%;OK;79;9238;No alarm;100.5;;45.7;26858.8;23098.6;537.2;;;true;0.0;0.0;No weather;
2023-03-12 01:14:21;2023-03-12 09:30:58;94%;79%;OK;71;7510;Normal;100.5;;33.0;29797.2;25327.6;595.9;2023-03-12 09:15:00;2023-03-12 10:00:00;true;0.0;0.0;No weather;Alcohol:cigarettes :Worked out
2023-03-13 03:00:35;2023-03-13 08:30:18;55%;73%;Bad;80;8099;No alarm;100.3;;45.5;19783.0;15694.5;395.7;;;true;0.0;24.6;Cloudy;cigarettes 
2023-03-13 20:47:55;2023-03-14 05:24:34;62%;63%;OK;59;9473;Normal;100.2;;112.0;30998.5;28931.9;620.0;2023-03-14 05:15:00;2023-03-14 06:00:00;true;0.0;24.8;Partly cloudy;cigarettes :Stressful day
2023-03-15 01:24:21;2023-03-15 08:52:31;84%;44%;OK;75;10474;Normal;100.2;;30.6;26889.4;21153.0;537.8;2023-03-15 08:45:00;2023-03-15 09:30:00;true;0.0;0.0;No weather;cigarettes 
2023-03-15 23:41:25;2023-03-16 08:24:50;88%;46%;Bad;80;8673;Normal;100.4;;52.2;31404.8;27740.9;628.1;2023-03-16 08:15:00;2023-03-16 09:00:00;true;0.0;24.6;Fair;cigarettes 
2023-03-16 22:40:08;2023-03-17 06:29:59;75%;63%;OK;73;7376;Normal;100.5;;61.6;28191.1;25184.1;563.8;2023-03-17 06:15:00;2023-03-17 07:00:00;true;0.0;24.9;Partly cloudy;
2023-03-18 02:43:50;2023-03-18 10:34:32;80%;63%;OK;63;13884;Normal;100.3;;52.3;28242.5;26171.3;564.8;2023-03-18 10:15:00;2023-03-18 11:00:00;true;0.0;24.4;Partly cloudy;
2023-03-18 23:13:43;2023-03-19 07:24:27;90%;51%;Bad;52;9133;Normal;100.3;;37.8;29443.7;26106.7;588.9;2023-03-19 07:15:00;2023-03-19 08:00:00;true;0.0;25.5;Fair;
2023-03-19 21:30:33;2023-03-19 23:08:36;18%;10%;;0;0;Normal;100.2;;38.0;5882.2;0.0;0.0;2023-03-20 05:15:00;2023-03-20 06:00:00;false;0.0;0.0;No weather;Coffee:Worked out
2023-03-19 23:50:55;2023-03-20 05:24:34;52%;52%;OK;60;4898;Normal;100.3;;64.2;20019.2;17550.2;400.4;2023-03-20 05:15:00;2023-03-20 06:00:00;true;170.9;25.3;Partly cloudy;Coffee:late screens:Worked out
2023-03-20 05:24:58;2023-03-20 05:40:58;3%;0%;OK;98;4898;Normal;100.1;;0.0;960.3;0.0;0.0;2023-03-20 05:35:00;2023-03-20 06:20:00;true;0.0;0.0;No weather;
2023-03-20 22:01:31;2023-03-21 05:33:59;91%;69%;OK;84;6640;Normal;100.2;;16.4;27147.6;23708.9;543.0;2023-03-21 05:15:00;2023-03-21 06:00:00;true;0.0;25.2;Partly cloudy;
2023-03-21 23:09:06;2023-03-22 07:37:26;93%;78%;OK;56;9184;Normal;100.2;;35.0;30500.1;27755.1;610.0;2023-03-22 07:15:00;2023-03-22 08:00:00;true;0.0;0.0;No weather;
2023-03-22 23:36:22;2023-03-23 07:20:20;89%;84%;OK;0;5923;Normal;100.1;;25.9;27838.6;20043.8;556.8;2023-03-23 07:15:00;2023-03-23 08:00:00;true;0.0;25.1;Partly cloudy;
2023-03-23 22:01:02;2023-03-24 05:54:18;67%;81%;Bad;67;7181;Normal;100.2;;77.9;28396.9;25841.2;567.9;2023-03-24 05:45:00;2023-03-24 06:15:00;true;0.0;0.0;No weather;
2023-03-25 01:50:41;2023-03-25 09:46:08;87%;68%;OK;0;8698;No alarm;100.2;;34.4;28526.8;22441.1;570.5;;;true;0.0;0.0;No weather;
2023-03-25 01:50:41;2023-03-25 09:46:08;87%;68%;OK;0;8698;No alarm;100.2;;34.4;28526.8;22441.1;570.5;;;true;0.0;0.0;No weather;
2023-03-25 22:21:10;2023-03-26 06:53:21;91%;53%;OK;72;7837;Normal;100.4;;39.3;30730.9;26838.3;614.6;2023-03-26 07:30:00;2023-03-26 08:00:00;true;0.0;0.0;No weather;
2023-03-26 22:14:05;2023-03-27 05:49:45;83%;58%;OK;62;8855;Normal;100.2;;36.1;27339.8;23785.6;546.8;2023-03-27 05:30:00;2023-03-27 06:00:00;true;12.3;0.0;No weather;
2023-03-27 22:02:27;2023-03-28 06:01:15;90%;78%;OK;53;7328;Normal;100.2;;29.0;28728.3;25472.5;574.6;2023-03-28 05:30:00;2023-03-28 06:00:00;true;0.0;0.0;No weather;
2023-03-29 22:51:04;2023-03-30 06:32:06;70%;93%;OK;70;5290;Normal;100.3;;64.4;27662.0;23420.5;553.2;2023-03-30 06:30:00;2023-03-30 07:00:00;true;0.0;0.0;No weather;
2023-03-30 22:38:30;2023-03-31 06:41:04;70%;93%;OK;86;5289;Normal;100.3;;72.2;28953.3;24610.3;579.1;2023-03-31 06:30:00;2023-03-31 07:00:00;true;12.9;0.0;No weather;
2023-04-01 01:50:40;2023-04-01 09:35:06;82%;73%;OK;76;8301;Normal;100.2;;42.3;27865.6;24800.4;557.3;2023-04-01 09:30:00;2023-04-01 10:00:00;true;0.0;24.7;Rain;
2023-04-02 05:24:54;2023-04-02 10:27:15;58%;70%;OK;74;6895;Normal;100.2;;25.4;18140.8;14149.8;362.8;2023-04-02 11:30:00;2023-04-02 12:00:00;true;0.0;0.0;No weather;
2023-04-03 05:30:22;2023-04-03 09:10:17;20%;67%;OK;72;5145;Normal;100.1;;165.9;13194.9;11523.6;263.9;2023-04-03 09:00:00;2023-04-03 09:30:00;true;0.0;0.0;No weather;
2023-04-03 22:09:04;2023-04-04 06:24:38;87%;56%;OK;53;3155;Normal;100.3;;44.7;29733.8;27850.6;594.7;2023-04-04 06:30:00;2023-04-04 07:00:00;true;13.8;26.3;Cloudy;
2023-04-04 23:28:15;2023-04-05 07:06:35;72%;62%;OK;60;5227;Normal;100.3;;71.2;27499.4;21357.9;3666.6;2023-04-05 07:00:00;2023-04-05 07:30:00;true;0.0;27.3;Partly cloudy;
2023-04-06 01:36:50;2023-04-06 08:46:08;74%;56%;OK;71;9628;Normal;100.3;;47.5;25757.2;23696.6;515.1;2023-04-06 08:30:00;2023-04-06 09:00:00;true;0.0;26.4;Cloudy;
2023-04-06 21:58:10;2023-04-07 06:32:26;88%;68%;OK;84;7000;Normal;100.2;;51.1;30856.7;23451.1;3908.5;2023-04-07 06:00:00;2023-04-07 06:30:00;true;0.0;26.8;Cloudy;
2023-04-09 02:30:38;2023-04-09 09:46:19;81%;43%;OK;56;6174;No alarm;100.4;;29.5;26140.9;24311.0;522.8;;;true;0.0;25.6;Partly cloudy;
2023-04-10 00:45:37;2023-04-10 06:00:23;59%;45%;OK;59;7644;Normal;100.5;;29.7;18885.8;16241.8;1385.0;2023-04-10 08:15:00;2023-04-10 08:45:00;true;0.0;24.8;Partly cloudy;
2023-04-10 06:01:20;2023-04-10 08:12:04;24%;-10%;OK;72;966;Normal;100.3;;27.9;7843.5;4183.2;1830.1;2023-04-10 08:30:00;2023-04-10 09:00:00;true;0.0;24.2;Partly cloudy;
2023-04-10 23:13:17;2023-04-11 04:53:05;59%;66%;Good;65;7969;Normal;100.4;;43.7;20387.7;17601.4;407.8;2023-04-11 06:43:00;2023-04-11 07:13:00;true;0.0;25.5;Partly cloudy;
2023-04-12 00:31:14;2023-04-12 07:44:15;82%;66%;OK;0;5316;Normal;100.3;;23.2;25981.0;24075.7;519.6;2023-04-12 07:30:00;2023-04-12 08:00:00;true;25.0;25.8;Partly cloudy;
2023-04-12 23:32:21;2023-04-13 07:10:56;66%;77%;OK;72;8810;Normal;100.3;;85.7;27514.3;23020.3;550.3;2023-04-13 07:02:00;2023-04-13 07:32:00;true;0.0;27.4;Fair;
2023-04-16 00:04:10;2023-04-16 03:25:49;37%;64%;;0;13761;No alarm;100.2;;33.4;12098.4;9275.4;242.0;;;true;0.0;26.3;Partly cloudy;
2023-04-16 21:59:00;2023-04-17 05:34:18;74%;65%;OK;54;4877;Normal;100.2;;61.0;27318.9;24587.0;546.4;2023-04-17 05:28:00;2023-04-17 05:58:00;true;0.0;27.5;Partly cloudy;
2023-04-17 21:59:06;2023-04-18 05:47:05;64%;81%;;64;7417;Normal;100.3;;96.5;28079.4;26020.2;561.6;2023-04-18 05:28:00;2023-04-18 05:58:00;true;0.0;26.0;Partly cloudy;
2023-04-18 22:00:02;2023-04-19 06:00:19;64%;87%;OK;70;9965;Normal;100.4;;102.0;28816.4;26799.3;576.3;2023-04-19 05:30:00;2023-04-19 06:00:00;true;0.0;25.5;Rain;
2023-04-20 00:09:43;2023-04-20 08:05:43;76%;87%;OK;0;4444;Normal;100.1;;67.1;28559.6;26560.4;571.2;2023-04-20 07:39:00;2023-04-20 08:09:00;true;12.9;27.3;Rain;
2023-04-20 19:23:45;2023-04-21 03:10:15;68%;61%;OK;61;6555;Normal;99.8;;86.6;27990.4;24445.0;559.8;2023-04-21 02:53:00;2023-04-21 03:23:00;true;0.0;26.8;Partly cloudy;
2023-04-21 03:11:02;2023-04-21 05:52:23;26%;0%;OK;61;6642;Normal;100.0;;65.2;9681.6;5647.6;193.6;2023-04-21 05:30:00;2023-04-21 06:00:00;true;0.0;26.7;Rainy showers;
2023-04-22 22:38:20;2023-04-23 06:00:15;93%;34%;OK;68;8907;Normal;100.1;;0.0;26514.9;25984.6;530.3;2023-04-23 05:30:00;2023-04-23 06:00:00;true;0.0;26.3;Cloudy;
2023-04-23 23:59:02;2023-04-24 07:42:29;67%;62%;Good;66;10270;Normal;100.2;;89.7;27807.5;24748.7;556.1;2023-04-24 07:28:00;2023-04-24 07:58:00;true;0.0;26.9;Rain;
2023-04-26 00:02:36;2023-04-26 08:03:48;69%;86%;OK;63;6127;Normal;100.2;;93.3;28871.8;26850.8;577.4;2023-04-26 07:32:00;2023-04-26 08:02:00;true;0.0;26.0;Partly cloudy;
2023-04-27 01:15:24;2023-04-27 08:02:46;63%;93%;OK;65;7287;Normal;100.1;;78.7;24441.5;22567.7;488.8;2023-04-27 08:00:00;2023-04-27 08:30:00;true;12.1;25.9;Partly cloudy;